arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.125000,0.200000,0.142857,0.142857,0.333333,0.250000,0.125000
pooled,finetune,-,0,2,0.125000,0.200000,0.142857,0.142857,0.333333,0.250000,0.125000
pooled,finetune,-,0,3,0.125000,0.200000,0.142857,0.142857,0.333333,0.250000,0.125000
pooled,finetune,-,0,4,0.125000,0.200000,0.142857,0.142857,0.333333,0.250000,0.125000
pooled,finetune,-,0,5,0.125000,0.200000,0.142857,0.142857,0.333333,0.250000,0.125000
