arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.524903,0.652211,0.559519,0.487239,0.410946,0.584459,0.562386
pooled,finetune,-,0,2,0.593740,0.623909,0.584331,0.507102,0.502886,0.707958,0.611752
pooled,finetune,-,0,3,0.641334,0.686416,0.608068,0.537131,0.522882,0.815128,0.657218
pooled,finetune,-,0,4,0.653830,0.766333,0.609919,0.548250,0.548341,0.665728,0.669058
pooled,finetune,-,0,5,0.667052,0.697866,0.652822,0.596847,0.579262,0.721471,0.690992
