arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.524903,0.652211,0.559519,0.487239,0.410946,0.584459,0.562386
pooled,finetune,-,0,2,0.593740,0.623909,0.584331,0.507102,0.502886,0.707958,0.611752
pooled,finetune,-,0,3,0.641334,0.686416,0.608068,0.537131,0.522882,0.815128,0.657218
pooled,finetune,-,0,4,0.653830,0.766333,0.609919,0.548250,0.548341,0.665728,0.669058
pooled,finetune,-,0,5,0.667052,0.697866,0.652822,0.596847,0.579262,0.721471,0.690992
pooled,finetune,-,0,6,0.683907,0.689771,0.640566,0.591978,0.579262,0.739114,0.697245
pooled,finetune,-,0,7,0.684428,0.661738,0.794066,0.591890,0.584313,0.737613,0.699947
pooled,finetune,-,0,8,0.704746,0.657556,0.657914,0.615258,0.580808,0.796734,0.708391
pooled,finetune,-,0,9,0.722209,0.662815,0.671418,0.650517,0.584313,0.786411,0.731542
pooled,finetune,-,0,10,0.707447,0.703249,0.683428,0.643431,0.571119,0.810998,0.726733
pooled,finetune,-,0,11,0.700497,0.736935,0.651226,0.639253,0.626469,0.806869,0.720112
pooled,finetune,-,0,12,0.716803,0.686666,0.659757,0.634757,0.615028,0.838026,0.727337
pooled,finetune,-,0,13,0.756860,0.729792,0.655689,0.628263,0.601010,0.712462,0.745361
pooled,finetune,-,0,14,0.722986,0.723188,0.634388,0.625660,0.647083,0.893769,0.727088
pooled,finetune,-,0,15,0.752311,0.744347,0.802863,0.627913,0.606267,0.841404,0.744900
pooled,finetune,-,0,16,0.735707,0.700683,0.633258,0.639731,0.656978,0.709084,0.730821
pooled,finetune,-,0,17,0.748669,0.701221,0.810969,0.626018,0.613482,0.758634,0.751046
pooled,finetune,-,0,18,0.747184,0.766045,0.684175,0.669653,0.630179,0.786411,0.751927
pooled,finetune,-,0,19,0.776516,0.758902,0.790439,0.618300,0.640280,0.789790,0.767309
pooled,finetune,-,0,20,0.771160,0.757287,0.798152,0.673095,0.655432,0.740991,0.768962
