arm,mode,strategy,seed,client,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
local_xeval,probe,-,0,0,20,0.544953,0.451777,0.572250,0.357997,0.283653,0.594782,0.497495
local_xeval,probe,-,0,1,20,0.184878,0.625341,0.289141,0.199660,0.378891,0.553116,0.244042
local_xeval,probe,-,0,2,20,0.306605,0.672615,0.581482,0.304724,0.406514,0.736486,0.380445
local_xeval,probe,-,0,3,20,0.238779,0.237075,0.419180,0.483111,0.365492,0.459835,0.277412
local_xeval,probe,-,0,4,20,0.172205,0.263026,0.215657,0.196197,0.588229,0.366554,0.165697
local_xeval,probe,-,0,5,20,0.164760,0.219800,0.167094,0.166150,0.323232,0.409910,0.161567
