arm,mode,strategy,seed,client,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
local_xeval,finetune,-,2,0,40,0.807544,0.641064,0.647034,0.447158,0.368172,0.613363,0.696619
local_xeval,finetune,-,2,1,40,0.251999,0.741925,0.409664,0.228881,0.326015,0.431306,0.314524
local_xeval,finetune,-,2,2,40,0.350819,0.592929,0.823281,0.395971,0.463203,0.732733,0.422786
local_xeval,finetune,-,2,3,40,0.252891,0.343478,0.474430,0.651393,0.481859,0.307432,0.318397
local_xeval,finetune,-,2,4,40,0.172473,0.308306,0.218089,0.194341,0.667904,0.263514,0.170415
local_xeval,finetune,-,2,5,40,0.230207,0.247824,0.189451,0.203332,0.318182,0.472410,0.203831
