arm,mode,strategy,seed,client,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
local_xeval,finetune,-,1,0,40,0.764995,0.470962,0.632680,0.379184,0.361369,0.579017,0.648912
local_xeval,finetune,-,1,1,40,0.208705,0.726149,0.385307,0.212801,0.337662,0.320946,0.285634
local_xeval,finetune,-,1,2,40,0.385063,0.614055,0.696680,0.406326,0.447846,0.609610,0.448245
local_xeval,finetune,-,1,3,40,0.263668,0.292257,0.498846,0.642403,0.442795,0.244932,0.323618
local_xeval,finetune,-,1,4,40,0.175181,0.279196,0.218667,0.199289,0.642445,0.319257,0.171907
local_xeval,finetune,-,1,5,40,0.196748,0.267507,0.187957,0.204971,0.314884,0.437875,0.185650
