arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.551918,0.679417,0.588576,0.348999,0.447330,0.621809,0.567537
pooled,finetune,-,0,2,0.589586,0.694761,0.693107,0.560575,0.527005,0.691066,0.623465
pooled,finetune,-,0,3,0.610206,0.687906,0.711955,0.544204,0.513193,0.629880,0.636027
pooled,finetune,-,0,4,0.620521,0.703519,0.736354,0.534937,0.463822,0.536224,0.654392
pooled,finetune,-,0,5,0.612603,0.661469,0.729989,0.597167,0.659142,0.745871,0.670196
