arm,mode,strategy,seed,client,round,bal_acc_own
local,finetune,-,0,0,1,0.477641
local,finetune,-,0,0,2,0.525568
local,finetune,-,0,0,3,0.584988
local,finetune,-,0,0,4,0.640736
local,finetune,-,0,0,5,0.633300
local,finetune,-,0,0,6,0.669358
local,finetune,-,0,0,7,0.680954
local,finetune,-,0,0,8,0.690350
local,finetune,-,0,0,9,0.708468
local,finetune,-,0,0,10,0.707364
local,finetune,-,0,0,11,0.713197
local,finetune,-,0,0,12,0.705061
local,finetune,-,0,0,13,0.729574
local,finetune,-,0,0,14,0.732866
local,finetune,-,0,0,15,0.729425
local,finetune,-,0,0,16,0.743391
local,finetune,-,0,0,17,0.734824
local,finetune,-,0,0,18,0.734699
local,finetune,-,0,0,19,0.750446
local,finetune,-,0,0,20,0.758826
local,finetune,-,0,1,1,0.472846
local,finetune,-,0,1,2,0.645049
local,finetune,-,0,1,3,0.676168
local,finetune,-,0,1,4,0.729542
local,finetune,-,0,1,5,0.618487
local,finetune,-,0,1,6,0.748260
local,finetune,-,0,1,7,0.713892
local,finetune,-,0,1,8,0.727370
local,finetune,-,0,1,9,0.675072
local,finetune,-,0,1,10,0.681946
local,finetune,-,0,1,11,0.729523
local,finetune,-,0,1,12,0.703374
local,finetune,-,0,1,13,0.702836
local,finetune,-,0,1,14,0.730600
local,finetune,-,0,1,15,0.726293
local,finetune,-,0,1,16,0.732215
local,finetune,-,0,1,17,0.774534
local,finetune,-,0,1,18,0.808902
local,finetune,-,0,1,19,0.759171
local,finetune,-,0,1,20,0.761594
local,finetune,-,0,2,1,0.409853
local,finetune,-,0,2,2,0.475542
local,finetune,-,0,2,3,0.516012
local,finetune,-,0,2,4,0.545655
local,finetune,-,0,2,5,0.590293
local,finetune,-,0,2,6,0.589006
local,finetune,-,0,2,7,0.636709
local,finetune,-,0,2,8,0.596578
local,finetune,-,0,2,9,0.628464
local,finetune,-,0,2,10,0.659743
local,finetune,-,0,2,11,0.655039
local,finetune,-,0,2,12,0.663115
local,finetune,-,0,2,13,0.647714
local,finetune,-,0,2,14,0.656783
local,finetune,-,0,2,15,0.641121
local,finetune,-,0,2,16,0.655689
local,finetune,-,0,2,17,0.662866
local,finetune,-,0,2,18,0.671469
local,finetune,-,0,2,19,0.690330
local,finetune,-,0,2,20,0.687707
local,finetune,-,0,3,1,0.326310
local,finetune,-,0,3,2,0.354235
local,finetune,-,0,3,3,0.451902
local,finetune,-,0,3,4,0.495449
local,finetune,-,0,3,5,0.537180
local,finetune,-,0,3,6,0.561949
local,finetune,-,0,3,7,0.568292
local,finetune,-,0,3,8,0.590039
local,finetune,-,0,3,9,0.594567
local,finetune,-,0,3,10,0.587610
local,finetune,-,0,3,11,0.586731
local,finetune,-,0,3,12,0.597081
local,finetune,-,0,3,13,0.593282
local,finetune,-,0,3,14,0.578740
local,finetune,-,0,3,15,0.603950
local,finetune,-,0,3,16,0.603725
local,finetune,-,0,3,17,0.595530
local,finetune,-,0,3,18,0.604489
local,finetune,-,0,3,19,0.583166
local,finetune,-,0,3,20,0.600275
local,finetune,-,0,4,1,0.463719
local,finetune,-,0,4,2,0.592352
local,finetune,-,0,4,3,0.659967
local,finetune,-,0,4,4,0.648114
local,finetune,-,0,4,5,0.622655
local,finetune,-,0,4,6,0.649660
local,finetune,-,0,4,7,0.654504
local,finetune,-,0,4,8,0.652958
local,finetune,-,0,4,9,0.647908
local,finetune,-,0,4,10,0.652958
local,finetune,-,0,4,11,0.646155
local,finetune,-,0,4,12,0.669862
local,finetune,-,0,4,13,0.663059
local,finetune,-,0,4,14,0.661307
local,finetune,-,0,4,15,0.661307
local,finetune,-,0,4,16,0.639147
local,finetune,-,0,4,17,0.669656
local,finetune,-,0,4,18,0.681509
local,finetune,-,0,4,19,0.679757
local,finetune,-,0,4,20,0.671202
local,finetune,-,0,5,1,0.102102
local,finetune,-,0,5,2,0.162162
local,finetune,-,0,5,3,0.261637
local,finetune,-,0,5,4,0.268393
local,finetune,-,0,5,5,0.292793
local,finetune,-,0,5,6,0.330706
local,finetune,-,0,5,7,0.327327
local,finetune,-,0,5,8,0.358483
local,finetune,-,0,5,9,0.355105
local,finetune,-,0,5,10,0.355105
local,finetune,-,0,5,11,0.382883
local,finetune,-,0,5,12,0.382883
local,finetune,-,0,5,13,0.382883
local,finetune,-,0,5,14,0.407282
local,finetune,-,0,5,15,0.407282
local,finetune,-,0,5,16,0.445195
local,finetune,-,0,5,17,0.451952
local,finetune,-,0,5,18,0.448574
local,finetune,-,0,5,19,0.455330
local,finetune,-,0,5,20,0.451952
