arm,mode,strategy,seed,client,round,bal_acc_own
local,finetune,-,1,3,27,0.599395
local,finetune,-,1,3,28,0.625374
local,finetune,-,1,3,29,0.641210
local,finetune,-,1,3,30,0.641236
local,finetune,-,1,3,31,0.620303
local,finetune,-,1,3,32,0.605991
local,finetune,-,1,3,33,0.613509
local,finetune,-,1,3,34,0.658297
local,finetune,-,1,3,35,0.641847
local,finetune,-,1,3,36,0.632658
local,finetune,-,1,3,37,0.619702
local,finetune,-,1,3,38,0.642968
local,finetune,-,1,3,39,0.640375
local,finetune,-,1,3,40,0.642403
local,finetune,-,1,4,1,0.454339
local,finetune,-,1,4,2,0.598330
local,finetune,-,1,4,3,0.617192
local,finetune,-,1,4,4,0.618945
local,finetune,-,1,4,5,0.618945
local,finetune,-,1,4,6,0.652546
local,finetune,-,1,4,7,0.643991
local,finetune,-,1,4,8,0.617192
local,finetune,-,1,4,9,0.600289
local,finetune,-,1,4,10,0.620491
local,finetune,-,1,4,11,0.603587
local,finetune,-,1,4,12,0.630592
local,finetune,-,1,4,13,0.623995
local,finetune,-,1,4,14,0.625541
local,finetune,-,1,4,15,0.628633
local,finetune,-,1,4,16,0.647495
local,finetune,-,1,4,17,0.632138
local,finetune,-,1,4,18,0.615028
local,finetune,-,1,4,19,0.628633
local,finetune,-,1,4,20,0.625335
local,finetune,-,1,4,21,0.618532
local,finetune,-,1,4,22,0.608431
local,finetune,-,1,4,23,0.628633
local,finetune,-,1,4,24,0.598330
local,finetune,-,1,4,25,0.608431
local,finetune,-,1,4,26,0.623583
local,finetune,-,1,4,27,0.618532
local,finetune,-,1,4,28,0.620284
local,finetune,-,1,4,29,0.623583
local,finetune,-,1,4,30,0.615234
local,finetune,-,1,4,31,0.610183
local,finetune,-,1,4,32,0.601629
local,finetune,-,1,4,33,0.604927
local,finetune,-,1,4,34,0.627087
local,finetune,-,1,4,35,0.635642
local,finetune,-,1,4,36,0.625335
local,finetune,-,1,4,37,0.630385
local,finetune,-,1,4,38,0.642445
local,finetune,-,1,4,39,0.628839
local,finetune,-,1,4,40,0.642445
local,finetune,-,1,5,1,0.204204
local,finetune,-,1,5,2,0.199324
local,finetune,-,1,5,3,0.212838
local,finetune,-,1,5,4,0.216216
local,finetune,-,1,5,5,0.212838
local,finetune,-,1,5,6,0.212838
local,finetune,-,1,5,7,0.243994
local,finetune,-,1,5,8,0.243994
local,finetune,-,1,5,9,0.275150
local,finetune,-,1,5,10,0.275150
local,finetune,-,1,5,11,0.275150
local,finetune,-,1,5,12,0.296171
local,finetune,-,1,5,13,0.299550
local,finetune,-,1,5,14,0.299550
local,finetune,-,1,5,15,0.306306
local,finetune,-,1,5,16,0.386261
local,finetune,-,1,5,17,0.414039
local,finetune,-,1,5,18,0.479917
local,finetune,-,1,5,19,0.452140
local,finetune,-,1,5,20,0.431119
local,finetune,-,1,5,21,0.434497
local,finetune,-,1,5,22,0.462275
local,finetune,-,1,5,23,0.434497
local,finetune,-,1,5,24,0.437875
local,finetune,-,1,5,25,0.441254
local,finetune,-,1,5,26,0.441254
local,finetune,-,1,5,27,0.441254
local,finetune,-,1,5,28,0.465653
local,finetune,-,1,5,29,0.465653
local,finetune,-,1,5,30,0.437875
local,finetune,-,1,5,31,0.437875
local,finetune,-,1,5,32,0.437875
local,finetune,-,1,5,33,0.410098
local,finetune,-,1,5,34,0.410098
local,finetune,-,1,5,35,0.410098
local,finetune,-,1,5,36,0.410098
local,finetune,-,1,5,37,0.410098
local,finetune,-,1,5,38,0.437875
local,finetune,-,1,5,39,0.437875
local,finetune,-,1,5,40,0.437875
