arm,mode,strategy,seed,client,round,bal_acc_own
local,finetune,-,2,0,1,0.437552
local,finetune,-,2,0,2,0.551253
local,finetune,-,2,0,3,0.613653
local,finetune,-,2,0,4,0.632501
local,finetune,-,2,0,5,0.639413
local,finetune,-,2,0,6,0.660357
local,finetune,-,2,0,7,0.681157
local,finetune,-,2,0,8,0.670512
local,finetune,-,2,0,9,0.679082
local,finetune,-,2,0,10,0.694550
local,finetune,-,2,0,11,0.714796
local,finetune,-,2,0,12,0.714547
local,finetune,-,2,0,13,0.701474
local,finetune,-,2,0,14,0.730326
local,finetune,-,2,0,15,0.726298
local,finetune,-,2,0,16,0.732141
local,finetune,-,2,0,17,0.749489
local,finetune,-,2,0,18,0.759671
local,finetune,-,2,0,19,0.755848
local,finetune,-,2,0,20,0.749613
local,finetune,-,2,0,21,0.770927
local,finetune,-,2,0,22,0.777206
local,finetune,-,2,0,23,0.773426
local,finetune,-,2,0,24,0.769072
local,finetune,-,2,0,25,0.758083
local,finetune,-,2,0,26,0.763433
local,finetune,-,2,0,27,0.785940
local,finetune,-,2,0,28,0.770720
local,finetune,-,2,0,29,0.770560
local,finetune,-,2,0,30,0.780950
local,finetune,-,2,0,31,0.790495
local,finetune,-,2,0,32,0.784770
local,finetune,-,2,0,33,0.788979
local,finetune,-,2,0,34,0.770831
local,finetune,-,2,0,35,0.782959
local,finetune,-,2,0,36,0.782042
local,finetune,-,2,0,37,0.804371
local,finetune,-,2,0,38,0.787777
local,finetune,-,2,0,39,0.804577
local,finetune,-,2,0,40,0.807544
local,finetune,-,2,1,1,0.438694
local,finetune,-,2,1,2,0.637762
local,finetune,-,2,1,3,0.687079
local,finetune,-,2,1,4,0.717679
local,finetune,-,2,1,5,0.697452
local,finetune,-,2,1,6,0.742194
local,finetune,-,2,1,7,0.728446
local,finetune,-,2,1,8,0.731407
local,finetune,-,2,1,9,0.732484
local,finetune,-,2,1,10,0.740723
local,finetune,-,2,1,11,0.700683
local,finetune,-,2,1,12,0.703105
local,finetune,-,2,1,13,0.704451
local,finetune,-,2,1,14,0.695962
local,finetune,-,2,1,15,0.711325
local,finetune,-,2,1,16,0.683022
local,finetune,-,2,1,17,0.710248
local,finetune,-,2,1,18,0.724803
local,finetune,-,2,1,19,0.688550
local,finetune,-,2,1,20,0.710786
local,finetune,-,2,1,21,0.740848
local,finetune,-,2,1,22,0.682753
local,finetune,-,2,1,23,0.690704
local,finetune,-,2,1,24,0.689896
