arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.461617,0.754240,0.530254,0.380907,0.329932,0.581081,0.516468
pooled,finetune,-,0,2,0.536504,0.655730,0.626909,0.481029,0.343950,0.562125,0.561125
pooled,finetune,-,0,3,0.535433,0.672669,0.701423,0.517202,0.439909,0.686186,0.579104
pooled,finetune,-,0,4,0.538546,0.676312,0.558137,0.456294,0.382395,0.481419,0.580355
pooled,finetune,-,0,5,0.618889,0.612276,0.705170,0.574540,0.597712,0.682057,0.646804
