arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,2,1,0.505347,0.654220,0.637144,0.426170,0.413111,0.636824,0.546892
pooled,finetune,-,2,2,0.583738,0.706624,0.736547,0.508176,0.529891,0.701201,0.617425
pooled,finetune,-,2,3,0.600874,0.824553,0.733214,0.525339,0.552051,0.638889,0.633959
pooled,finetune,-,2,4,0.644180,0.696376,0.609341,0.514163,0.608225,0.686186,0.656115
pooled,finetune,-,2,5,0.619347,0.706210,0.739975,0.586644,0.623583,0.831456,0.652295
pooled,finetune,-,2,6,0.677329,0.712815,0.648442,0.575975,0.600082,0.789227,0.690186
pooled,finetune,-,2,7,0.676561,0.726293,0.813376,0.584301,0.623583,0.717342,0.698720
pooled,finetune,-,2,8,0.702383,0.679792,0.661097,0.631629,0.642239,0.719970,0.714018
pooled,finetune,-,2,9,0.680034,0.672111,0.794776,0.616119,0.609771,0.719970,0.700016
pooled,finetune,-,2,10,0.714741,0.735320,0.672845,0.582109,0.622243,0.740991,0.730073
pooled,finetune,-,2,11,0.720089,0.728716,0.807643,0.603331,0.662853,0.762012,0.731418
pooled,finetune,-,2,12,0.736471,0.771842,0.793340,0.616800,0.652752,0.765390,0.744018
pooled,finetune,-,2,13,0.725117,0.786666,0.811457,0.620069,0.688312,0.716592,0.736625
pooled,finetune,-,2,14,0.745485,0.785589,0.796795,0.647611,0.654092,0.758071,0.753688
pooled,finetune,-,2,15,0.717120,0.756749,0.782389,0.600189,0.689652,0.696321,0.733000
pooled,finetune,-,2,16,0.748110,0.765237,0.797697,0.632257,0.723665,0.702327,0.751753
pooled,finetune,-,2,17,0.750196,0.737204,0.823008,0.650456,0.675840,0.820571,0.757173
pooled,finetune,-,2,18,0.739705,0.744886,0.808168,0.581200,0.694908,0.834084,0.733556
pooled,finetune,-,2,19,0.729323,0.745962,0.812557,0.631334,0.711400,0.740240,0.741902
pooled,finetune,-,2,20,0.747502,0.716583,0.657278,0.618991,0.676252,0.730105,0.745403
pooled,finetune,-,2,21,0.759968,0.788819,0.810109,0.623311,0.680891,0.751126,0.755890
pooled,finetune,-,2,22,0.758429,0.745962,0.819606,0.564838,0.710060,0.694820,0.739286
pooled,finetune,-,2,23,0.737549,0.717929,0.809995,0.651786,0.650588,0.684685,0.742545
pooled,finetune,-,2,24,0.781688,0.695155,0.686339,0.650094,0.667697,0.691441,0.766159
pooled,finetune,-,2,25,0.775348,0.675072,0.817242,0.649948,0.689858,0.768018,0.762773
pooled,finetune,-,2,26,0.759694,0.681946,0.821485,0.640745,0.669450,0.743619,0.754644
pooled,finetune,-,2,27,0.761508,0.718468,0.683000,0.642240,0.672542,0.746997,0.759000
pooled,finetune,-,2,28,0.773341,0.739627,0.796907,0.611765,0.680891,0.768018,0.755793
pooled,finetune,-,2,29,0.779034,0.661056,0.684234,0.633449,0.692950,0.774775,0.760573
pooled,finetune,-,2,30,0.769629,0.738012,0.807807,0.635581,0.665533,0.896396,0.758138
pooled,finetune,-,2,31,0.771038,0.736128,0.797433,0.601564,0.696660,0.914039,0.762436
pooled,finetune,-,2,32,0.796893,0.724534,0.821210,0.639368,0.718615,0.753754,0.777460
pooled,finetune,-,2,33,0.789034,0.760248,0.811782,0.645067,0.676046,0.781532,0.769560
pooled,finetune,-,2,34,0.784601,0.722919,0.828766,0.636060,0.726757,0.833896,0.776535
pooled,finetune,-,2,35,0.788648,0.789358,0.823573,0.678802,0.694290,0.743619,0.779374
pooled,finetune,-,2,36,0.799555,0.682753,0.831144,0.692258,0.712946,0.833896,0.786787
pooled,finetune,-,2,37,0.793617,0.722933,0.806584,0.619623,0.701093,0.774775,0.764159
pooled,finetune,-,2,38,0.782402,0.702850,0.832646,0.693508,0.696248,0.792417,0.773867
pooled,finetune,-,2,39,0.815026,0.690973,0.822322,0.681515,0.664193,0.771396,0.791384
pooled,finetune,-,2,40,0.812733,0.675072,0.831471,0.647646,0.696454,0.774775,0.789129
