arm,mode,strategy,seed,round,bal_acc_c0,bal_acc_c1,bal_acc_c2,bal_acc_c3,bal_acc_c4,bal_acc_c5,bal_acc_pooled
pooled,finetune,-,0,1,0.387716,0.533570,0.391448,0.288496,0.230262,0.547297,0.407003
pooled,finetune,-,0,2,0.508309,0.645895,0.660746,0.438535,0.365492,0.650338,0.532940
pooled,finetune,-,0,3,0.539122,0.611094,0.555521,0.438729,0.431561,0.660473,0.563393
pooled,finetune,-,0,4,0.570486,0.623890,0.574000,0.483336,0.478973,0.795608,0.594859
pooled,finetune,-,0,5,0.586887,0.607720,0.597479,0.539278,0.485776,0.736486,0.616538
